n_train,n_test,auc,accuracy,mode,split
102,44,0.743801652892562,0.6363636363636364,elasticnet_full,1
102,44,0.6921487603305785,0.6590909090909091,top20_locked,1
102,44,0.7355371900826446,0.6818181818181818,elasticnet_full,2
102,44,0.6797520661157025,0.6136363636363636,top20_locked,2
102,44,0.6632231404958678,0.6136363636363636,elasticnet_full,3
102,44,0.6632231404958677,0.5681818181818182,top20_locked,3
102,44,0.7252066115702479,0.6136363636363636,elasticnet_full,4
102,44,0.7603305785123966,0.6818181818181818,top20_locked,4
102,44,0.7995867768595042,0.7045454545454546,elasticnet_full,5
102,44,0.7644628099173553,0.75,top20_locked,5
